Iter, Time (min), DI, DII, DIII, PI, PII, SI, SII, SIII, SIIII, 
59, 60.000000, 0.004708, 0.004708, 0.004708, 0.004450, 0.004450, 0.003774, 0.003774, 0.005572, 0.007586, 
119, 120.000000, 0.008066, 0.008066, 0.008066, 0.008784, 0.008784, 0.004685, 0.004685, 0.011981, 0.043536, 
182, 180.000000, 0.009237, 0.009237, 0.009237, 0.012746, 0.012746, 0.004775, 0.004775, 0.015741, 0.138251, 
272, 240.000000, 0.009480, 0.009480, 0.009480, 0.014578, 0.014578, 0.004782, 0.004782, 0.016908, 0.271931, 
449, 300.000000, 0.009519, 0.009519, 0.009519, 0.015469, 0.015469, 0.004783, 0.004783, 0.017151, 0.417765, 
629, 360.000000, 0.009525, 0.009525, 0.009525, 0.016025, 0.016025, 0.004783, 0.004783, 0.017197, 0.566301, 
810, 420.000000, 0.009526, 0.009526, 0.009526, 0.016367, 0.016367, 0.004783, 0.004783, 0.017206, 0.715387, 
1050, 480.000000, 0.009526, 0.009526, 0.009526, 0.016580, 0.016580, 0.004783, 0.004783, 0.017207, 0.864587, 
1312, 540.000000, 0.009526, 0.009526, 0.009526, 0.016711, 0.016711, 0.004783, 0.004783, 0.017776, 1.012465, 
1612, 600.000000, 0.009526, 0.009526, 0.009526, 0.016788, 0.016788, 0.004783, 0.004783, 0.068254, 1.068304, 
1940, 660.000000, 0.009526, 0.009526, 0.009526, 0.016833, 0.016833, 0.004783, 0.004783, 0.118023, 1.118065, 
2300, 720.000000, 0.009526, 0.009526, 0.009526, 0.016881, 0.016881, 0.004783, 0.004783, 0.167767, 1.167808, 
2660, 780.000000, 0.009526, 0.009526, 0.009526, 0.020168, 0.020168, 0.004783, 0.004783, 0.217510, 1.217552, 
3116, 840.000000, 0.009526, 0.009526, 0.009526, 0.058236, 0.058236, 0.004783, 0.004783, 0.269320, 1.269348, 
3635, 900.000000, 0.009526, 0.009526, 0.009526, 0.099621, 0.099621, 0.004783, 0.004783, 0.336212, 1.336380, 
4215, 960.000000, 0.009526, 0.009526, 0.009526, 0.417794, 0.417794, 0.004783, 0.004783, 0.412822, 1.413019, 
4965, 1020.000000, 0.009526, 0.009526, 0.009526, 0.741034, 0.741034, 0.004783, 0.004783, 0.491920, 1.492090, 
5745, 1080.000000, 0.009526, 0.009526, 0.009526, 1.059771, 1.059771, 0.004783, 0.004783, 0.571495, 1.571666, 
6577, 1140.000000, 0.009526, 0.009526, 0.009526, 1.346842, 1.346842, 0.004783, 0.004783, 0.651233, 1.651190, 
7474, 1200.000000, 0.009526, 0.009526, 0.009526, 1.636023, 1.636023, 0.004783, 0.004783, 0.732243, 1.732199, 
